,0
590,british
591,southern_us
592,mexican
593,southern_us
594,french
595,italian
596,french
597,french
598,mexican
599,vietnamese
600,southern_us
601,italian
602,italian
603,french
604,italian
605,french
606,mexican
607,southern_us
608,indian
609,brazilian
610,italian
611,italian
612,chinese
613,spanish
614,french
615,southern_us
616,korean
617,italian
618,mexican
619,french
620,british
621,french
622,mexican
623,mexican
624,mexican
625,french
626,french
627,italian
628,italian
629,chinese
630,italian
631,french
632,thai
633,southern_us
634,french
635,italian
636,italian
637,irish
638,southern_us
639,southern_us
640,italian
641,mexican
642,thai
643,mexican
644,chinese
645,italian
646,italian
647,mexican
648,mexican
649,british
650,korean
651,french
652,italian
653,southern_us
654,mexican
655,mexican
656,mexican
657,thai
658,indian
659,mexican
660,french
661,italian
662,italian
663,russian
664,moroccan
665,italian
666,italian
667,greek
668,french
669,southern_us
670,thai
671,chinese
672,southern_us
673,greek
674,italian
675,british
676,southern_us
677,cajun_creole
678,italian
679,mexican
680,italian
681,mexican
682,italian
683,jamaican
684,japanese
685,korean
686,italian
687,italian
688,french
689,italian
690,italian
691,french
692,irish
693,southern_us
694,southern_us
695,southern_us
696,italian
697,french
698,italian
699,mexican
700,french
701,italian
702,russian
703,greek
704,thai
705,french
706,thai
707,southern_us
708,italian
709,indian
710,french
711,french
712,mexican
713,indian
714,italian
715,southern_us
716,greek
717,french
718,italian
719,spanish
720,french
721,indian
722,greek
723,french
724,italian
725,italian
726,greek
727,mexican
728,southern_us
729,mexican
730,southern_us
731,southern_us
732,french
733,italian
734,french
735,mexican
736,indian
737,italian
738,moroccan
739,chinese
740,mexican
741,indian
742,southern_us
743,italian
744,moroccan
745,italian
746,mexican
747,greek
748,southern_us
749,french
750,russian
751,greek
752,southern_us
753,italian
754,french
755,moroccan
756,cajun_creole
757,southern_us
758,mexican
759,italian
760,mexican
761,french
762,southern_us
763,mexican
764,brazilian
765,french
766,chinese
767,italian
768,thai
769,french
770,southern_us
771,french
772,spanish
773,japanese
774,french
775,southern_us
776,italian
777,italian
778,french
779,chinese
780,french
781,italian
782,japanese
783,mexican
784,indian
785,french
786,italian
787,irish
788,southern_us
789,southern_us
790,italian
791,mexican
792,greek
793,thai
794,southern_us
795,french
796,southern_us
797,french
798,italian
799,southern_us
800,mexican
801,italian
802,french
803,mexican
804,mexican
805,southern_us
806,jamaican
807,french
808,southern_us
809,french
810,french
811,italian
812,italian
813,southern_us
814,italian
815,french
816,southern_us
817,french
818,greek
819,mexican
820,italian
821,southern_us
822,french
823,italian
824,italian
825,southern_us
826,italian
827,french
828,mexican
829,spanish
830,italian
831,japanese
832,italian
833,french
834,italian
835,french
836,french
837,italian
838,mexican
839,italian
840,french
841,chinese
842,russian
843,italian
844,french
845,mexican
846,greek
847,italian
848,southern_us
849,southern_us
850,russian
851,italian
852,southern_us
853,southern_us
854,mexican
855,french
856,british
857,mexican
858,japanese
859,french
860,italian
861,southern_us
862,italian
863,mexican
864,irish
865,mexican
866,indian
867,french
868,greek
869,french
870,french
871,italian
872,moroccan
873,italian
874,italian
875,southern_us
876,french
877,irish
878,italian
879,indian
880,southern_us
881,italian
882,indian
883,italian
884,italian
885,greek
886,italian
887,thai
888,italian
889,korean
890,southern_us
891,mexican
892,french
893,french
894,japanese
895,italian
896,indian
897,italian
898,korean
899,southern_us
900,mexican
901,italian
902,indian
903,italian
904,italian
905,jamaican
906,italian
907,southern_us
908,italian
909,southern_us
910,italian
911,french
912,japanese
913,french
914,italian
915,southern_us
916,french
917,mexican
918,italian
919,italian
920,italian
921,italian
922,french
923,greek
924,italian
925,french
926,chinese
927,french
928,italian
929,southern_us
930,french
931,italian
932,southern_us
933,southern_us
934,british
935,moroccan
936,italian
937,russian
938,british
939,french
940,italian
941,italian
942,italian
943,southern_us
944,southern_us
945,british
946,french
947,southern_us
948,moroccan
949,greek
950,italian
951,brazilian
952,southern_us
953,southern_us
954,southern_us
955,french
956,southern_us
957,southern_us
958,southern_us
959,french
960,mexican
961,italian
962,mexican
963,french
964,italian
965,vietnamese
966,italian
967,french
968,french
969,french
970,french
971,chinese
972,indian
973,italian
974,cajun_creole
975,irish
976,chinese
977,indian
978,italian
979,italian
980,french
981,chinese
982,french
983,french
984,french
985,moroccan
986,southern_us
987,jamaican
988,french
989,jamaican
990,indian
991,mexican
992,british
993,italian
994,french
995,french
996,chinese
997,japanese
998,moroccan
999,italian
1000,russian
1001,french
1002,italian
1003,french
1004,thai
1005,chinese
1006,greek
1007,french
1008,southern_us
1009,french
1010,chinese
1011,japanese
1012,mexican
1013,indian
1014,french
1015,southern_us
1016,thai
1017,mexican
1018,italian
1019,thai
1020,italian
1021,russian
1022,southern_us
1023,french
1024,italian
1025,southern_us
1026,italian
1027,italian
1028,french
1029,french
1030,japanese
1031,moroccan
1032,southern_us
1033,southern_us
1034,moroccan
1035,moroccan
1036,french
1037,southern_us
1038,italian
1039,italian
1040,southern_us
1041,southern_us
1042,british
1043,italian
1044,russian
1045,french
1046,italian
1047,french
1048,chinese
1049,chinese
1050,italian
1051,irish
1052,italian
1053,mexican
1054,french
1055,southern_us
1056,french
1057,italian
1058,italian
1059,french
1060,french
1061,british
1062,spanish
1063,italian
1064,french
1065,mexican
1066,italian
1067,southern_us
1068,french
1069,french
1070,italian
1071,italian
1072,italian
1073,russian
1074,indian
1075,italian
1076,french
1077,moroccan
1078,japanese
1079,italian
1080,french
1081,southern_us
1082,french
1083,thai
1084,mexican
1085,southern_us
1086,italian
1087,italian
1088,japanese
1089,french
1090,italian
1091,british
1092,greek
1093,french
1094,italian
1095,indian
1096,italian
1097,italian
1098,greek
1099,french
1100,french
1101,russian
1102,irish
1103,french
1104,italian
1105,cajun_creole
1106,french
1107,italian
1108,russian
1109,mexican
1110,korean
1111,french
1112,southern_us
1113,italian
1114,french
1115,southern_us
1116,indian
1117,brazilian
1118,russian
1119,chinese
1120,southern_us
1121,moroccan
1122,mexican
1123,indian
1124,french
1125,mexican
1126,mexican
1127,thai
1128,greek
1129,moroccan
1130,thai
1131,french
1132,italian
1133,southern_us
1134,greek
1135,southern_us
1136,cajun_creole
1137,moroccan
1138,italian
1139,italian
1140,mexican
1141,french
1142,moroccan
1143,italian
1144,southern_us
1145,italian
1146,italian
1147,french
1148,italian
1149,italian
1150,southern_us
1151,french
1152,french
1153,mexican
1154,thai
